"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","주 출입구 접근로 설치여부","장애인 전용 주차구역 지정여부","주 출입구 높이차이 제거여부","출입구(문) 설치유무","복도","계단/승강기/경사로/휠체어리프트 유무","장애인용 대변기 설치여부","장애인용 소변기 설치여부","점자블록 설치여부","유도 및 안내설비 설치여부","경보 및 피난설비 설치여부","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 광진구","1121510100","01","S010000571","대원외국어고등학교","04","사립","N","","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","적정설치","미설치","미설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 성북구","1129013300","01","S010000572","대일외국어고등학교","04","사립","N","","단순설치","미설치","미설치","미설치","미설치","미설치","적정설치","적정설치","미설치","미설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강서구","1150010600","01","S010000573","명덕외국어고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","미설치","미설치","미설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 도봉구","1132010700","01","S010000574","서울외국어고등학교","04","사립","N","","미설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","미설치","미설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 중구","1114016800","01","S010000575","이화여자외국어고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","단순설치","단순설치","단순설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강동구","1174010300","01","S010000576","한영외국어고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","미설치","미설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강남구","1168011400","01","S010000577","서울로봇고등학교","04","공립","N","","적정설치","적정설치","적정설치","적정설치","단순설치","적정설치","적정설치","적정설치","단순설치","단순설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강서구","1150010900","01","S010000578","강서공업고등학교","04","공립","N","","단순설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","단순설치","단순설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 노원구","1135010400","01","S010000579","경기기계공업고등학교","04","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 노원구","1135010200","01","S010000580","광운인공지능고등학교","04","사립","N","","적정설치","적정설치","적정설치","단순설치","단순설치","적정설치","적정설치","적정설치","적정설치","미설치","미설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강남구","1168010600","01","S010000581","단국대학교부속소프트웨어고등학교","04","사립","N","","미설치","적정설치","미설치","단순설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 구로구","1153010800","01","S010000582","덕일전자공업고등학교","04","사립","N","","미설치","적정설치","미설치","단순설치","적정설치","단순설치","단순설치","단순설치","적정설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 마포구","1144010900","01","S010000583","서울디자인고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강서구","1150010400","01","S010000584","동양고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 성동구","1120011300","01","S010000585","서울방송고등학교","04","공립","N","","단순설치","적정설치","단순설치","적정설치","적정설치","단순설치","적정설치","적정설치","적정설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강동구","1174010300","01","S010000586","상일미디어고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","단순설치","적정설치","적정설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 노원구","1135010600","01","S010000587","미래산업과학고등학교","04","사립","N","","적정설치","적정설치","적정설치","단순설치","단순설치","적정설치","적정설치","단순설치","단순설치","단순설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 동작구","1159010800","01","S010000588","서울공업고등학교","04","공립","N","","단순설치","단순설치","단순설치","단순설치","단순설치","미설치","단순설치","단순설치","미설치","단순설치","단순설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 용산구","1117013000","01","S010000589","서울디지텍고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 성북구","1129013600","01","S010000590","서울도시과학기술고등학교","04","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","미설치","적정설치","미설치","","","2021"
